D,z,t
8.626803708907833e-06,1.0,0.004666666666666667
7.561204010911417e-06,1.0,0.005333333333333333
6.73244260118e-06,1.0,0.006
6.069468168758736e-06,1.0,0.006666666666666665
5.527066244123546e-06,1.0,0.007333333333333333
5.0750938485935935e-06,1.0,0.008
4.692682767091666e-06,1.0,0.008666666666666666
4.3649271325788e-06,1.0,0.00933333333333333
4.080895976715261e-06,1.0,0.01
4.019064219492312e-05,2.0,0.004
3.450721483563133e-05,2.0,0.004666666666666667
3.024481604364567e-05,2.0,0.005333333333333333
2.6929770404719995e-05,2.0,0.006
2.427787267503494e-05,2.0,0.006666666666666665
2.210826497649417e-05,2.0,0.007333333333333333
2.0300375394374367e-05,2.0,0.008
1.877073106836665e-05,2.0,0.008666666666666666
1.7459708530315202e-05,2.0,0.00933333333333333
1.6323583906861043e-05,2.0,0.01
9.042894493857703e-05,3.0,0.004
7.764123338017053e-05,3.0,0.004666666666666667
6.805083609820276e-05,3.0,0.005333333333333333
6.059198341061996e-05,3.0,0.006
5.4625213518828594e-05,3.0,0.006666666666666665
4.974359619711191e-05,3.0,0.007333333333333333
4.567584463734235e-05,3.0,0.008
4.223414490382498e-05,3.0,0.008666666666666666
3.928434419320919e-05,3.0,0.00933333333333333
3.672806379043736e-05,3.0,0.01
0.00016076256877969248,4.0,0.004
0.0001380288593425253,4.0,0.004666666666666667
0.00012097926417458268,4.0,0.005333333333333333
0.00010771908161888003,4.0,0.006
9.711149070013969e-05,4.0,0.006666666666666665
8.843305990597673e-05,4.0,0.007333333333333333
8.120150157749752e-05,4.0,0.008
7.508292427346662e-05,4.0,0.008666666666666666
6.983883412126078e-05,4.0,0.00933333333333333
6.529433562744417e-05,4.0,0.01
0.00025119151371826964,5.0,0.004
0.00021567009272269568,5.0,0.004666666666666667
0.00018903010027278527,5.0,0.005333333333333333
0.0001683110650295,5.0,0.006
0.00015173670421896843,5.0,0.006666666666666665
0.00013817665610308866,5.0,0.007333333333333333
0.0001268773462148399,5.0,0.008
0.00011731706917729164,5.0,0.008666666666666666
0.00010912317831447003,5.0,0.00933333333333333
0.0001020223994178816,5.0,0.01
0.000361715779754308,6.0,0.004
0.00031056493352068186,6.0,0.004666666666666667
0.00027220334439281103,6.0,0.005333333333333333
0.00024236793364247988,6.0,0.006
0.00021850085407531443,6.0,0.006666666666666665
0.00019897438478844764,6.0,0.007333333333333333
0.00018270337854936955,6.0,0.008
0.0001689365796152999,6.0,0.008666666666666666
0.00015713737677283668,6.0,0.00933333333333333
0.00014691225516174944,6.0,0.01
0.0004923353668878081,7.0,0.004
0.0004227133817364836,7.0,0.004666666666666667
0.00037049899653465945,7.0,0.005333333333333333
0.00032988968745782,7.0,0.006
0.0002974039402691779,7.0,0.006666666666666665
0.0002708262459620537,7.0,0.007333333333333333
0.0002486795985810861,7.0,0.008
0.00022994145558749153,7.0,0.008666666666666666
0.00021388142949636113,7.0,0.00933333333333333
0.00019996390285904783,7.0,0.01
0.0006430502751187697,8.0,0.004
0.0005521154373701011,8.0,0.004666666666666667
0.0004839170566983304,8.0,0.005333333333333333
0.00043087632647551975,8.0,0.006
0.0003884459628005591,8.0,0.006666666666666665
0.00035373223962390676,8.0,0.007333333333333333
0.00032480600630999,8.0,0.008
0.0003003316970938666,8.0,0.008666666666666666
0.0002793553364850433,8.0,0.00933333333333333
0.00026117734250977664,8.0,0.01
0.0008138605044471932,9.0,0.004
0.0006987711004215341,9.0,0.004666666666666667
0.0006124575248838248,9.0,0.005333333333333333
0.0005453278506955798,9.0,0.006
0.0004916269216694577,9.0,0.006666666666666665
0.0004476923657740068,9.0,0.007333333333333333
0.0004110826017360814,9.0,0.008
0.00038010730413442465,9.0,0.008666666666666666
0.00035355909773888283,9.0,0.00933333333333333
0.0003305525741139362,9.0,0.01
0.0010047660548730783,10.0,0.004
0.0008626803708907837,10.0,0.004666666666666667
0.0007561204010911414,10.0,0.005333333333333333
0.0006732442601180002,10.0,0.006
0.0006069468168758737,10.0,0.006666666666666665
0.0005527066244123545,10.0,0.007333333333333333
0.0005075093848593597,10.0,0.008
0.00046926827670916665,10.0,0.008666666666666666
0.0004364927132578799,10.0,0.00933333333333333
0.00040808959767152614,10.0,0.01
